CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 601948e7077f0d767811f4d7a7b08fcbcde09a38
uncommitted changes = True
seed = 42
engine_config_name = leela_local_1600_nodes.ini
data_config_name = fens_board_transformations.ini
address = 127.0.0.1
port = 50001
password = password
remove_pawns = False
num_positions = 50000
transformations = ['rot180']
result_subdir = 

fen,original,rot180
7r/8/3R1Q2/8/8/7r/8/1R2K1qk w - - 2 31,-0.645,-0.758
7r/2R5/k4K2/1r1q4/6R1/8/8/2Q5 w - - 14 59,0.857,0.838
8/3N4/6r1/3n4/7K/1knN4/5R2/8 w - - 6 61,0.827,0.847
7q/5Q2/8/6k1/2B5/1R2b1r1/8/5K2 w - - 12 47,0.896,0.824
8/6b1/5B1b/2q5/6BQ/8/k7/5K2 w - - 0 50,0.825,0.908
8/5k2/2B5/7K/8/4QB2/1b2b3/4q3 w - - 2 56,1.0,0.449
1r2B1R1/8/8/1B6/8/7k/7b/2b2K2 w - - 14 56,0.181,0.895
4r1Q1/8/7r/kq6/2RK4/8/8/6R1 w - - 10 33,-0.0020000000000000018,0.009000000000000008
KN4R1/8/8/5Q2/r7/8/2n5/2q1k3 w - - 7 35,-0.8109999999999999,-0.85
8/2q5/8/1R6/3r3r/7k/8/R2Q3K w - - 10 55,0.907,0.7659999999999999
3b2q1/Q7/8/Bk6/8/8/1b3B2/5K2 w - - 8 38,0.793,0.728
3q4/r7/1RQ5/4k3/8/8/7n/3K3N w - - 10 43,-0.846,-0.522
8/7q/R3b3/8/5k2/1Q6/B1K5/4r3 w - - 17 64,-0.782,-0.621
8/7R/8/2KNr2n/2R5/1k6/8/3r4 w - - 0 37,0.692,0.825
5K2/3r4/2q5/5k2/8/1Q5R/4nN2/8 w - - 0 49,0.844,0.869
8/2n2q2/6b1/8/8/2K5/5N2/5kBQ w - - 2 48,0.602,0.663
1K6/5B2/8/1k6/7b/8/Q3R1rq/8 w - - 11 57,0.943,0.952
q3r3/8/1B6/QK6/7R/8/1kb5/8 w - - 6 64,0.754,0.8260000000000001
8/kq3b2/2Q1r3/8/B7/8/5K2/R7 w - - 18 61,0.318,0.188
3r4/8/b1B1R3/1b6/8/6K1/2B5/5k2 w - - 15 55,0.755,0.876
K6b/8/2q2k2/3r4/4B3/8/1R4Q1/8 w - - 2 50,-1.0,-1.0
6B1/7R/1b3K2/8/5k2/8/4rq2/Q7 w - - 0 48,-0.109,-0.095
5R2/1krK4/8/8/4r3/8/8/1n3N1R w - - 5 39,-1.0,-1.0
8/8/2Q5/q7/8/2N4R/5k2/K1n2r2 w - - 9 33,-0.767,-0.827
6NQ/8/n7/8/3K4/5q1B/8/kb6 w - - 17 59,-0.129,-0.095
3b4/1n3B2/8/8/1k2rNR1/8/8/3K4 w - - 1 69,0.891,0.858
8/8/3r3q/R7/N6n/8/8/3QK1k1 w - - 10 63,-0.702,-0.867
8/8/k3r3/6n1/N6q/1K6/Q1R5/8 w - - 14 56,0.965,0.964
3R4/8/8/7r/1rB1R3/2k4b/5K2/8 w - - 3 35,1.0,1.0
k7/4b2B/8/7Q/1b1K4/1q2B3/8/8 w - - 2 53,0.895,0.9
3Q4/k7/1r6/1q6/6K1/8/B1R5/b7 w - - 13 70,0.856,0.845
r7/3n4/6R1/8/n2N4/5K2/8/1N3k2 w - - 6 62,0.319,0.856
n6b/8/7k/8/5K1N/2q5/8/2BQ4 w - - 13 59,0.52,0.973
k1B5/8/7Q/8/8/5K2/b5B1/b2q4 w - - 9 62,0.749,0.8109999999999999
1q5k/1b6/8/1Q6/8/5B2/5R2/1K4r1 w - - 8 70,-0.736,-0.745
7q/5kr1/B6b/8/R7/3Q4/8/6K1 w - - 5 68,0.869,0.388
8/2R2r2/3K3Q/5q2/8/3k4/5bB1/8 w - - 3 58,0.8079999999999999,0.6679999999999999
B1Q5/2K1k3/2R5/2r5/8/5b2/8/2q5 w - - 10 60,0.86,0.91
8/8/2k3K1/6bB/8/7n/4N3/6nN w - - 19 62,0.067,0.07
8/2B2K2/8/8/brb3R1/8/7B/7k w - - 4 51,0.542,0.568
2B1Kb2/8/8/7k/3b1r2/4R3/3B4/8 w - - 14 63,0.192,0.157
2r5/4R3/KB1Q4/8/8/8/2q5/kb6 w - - 10 54,1.0,1.0
8/q1Q1R3/8/r7/8/4n1Nk/8/4K3 w - - 6 64,0.945,0.933
2K4R/N6Q/8/8/5k2/q6n/7r/8 w - - 3 42,0.914,0.709
8/8/8/6n1/8/7k/3rq2N/Q2R2K1 w - - 6 35,0.10900000000000001,0.751
5N2/7n/8/5QN1/7q/8/k6n/2K5 w - - 4 63,0.764,0.749
8/2rr2b1/5R2/8/k7/8/2K2R2/1B6 w - - 16 64,-0.907,-0.771
2q3k1/2n5/1Q6/K1N5/8/8/8/6Bb w - - 0 46,0.889,0.79
7Q/8/5K2/3r4/8/q7/5RR1/2kr4 w - - 21 66,0.518,0.7989999999999999
2N5/B6q/8/Q7/7n/5b2/8/2k1K3 w - - 0 39,1.0,1.0
5B2/2B4k/7r/8/K1bR4/3b4/8/8 w - - 0 55,0.198,0.944
8/2q5/8/R5Q1/8/5kn1/8/K1N3r1 w - - 16 57,0.654,0.714
8/8/6r1/8/kB5Q/8/1b4q1/4K2R w - - 12 52,-0.051,-0.359
8/7R/b4k2/8/r5K1/4Q3/q3B3/8 w - - 0 33,-0.844,-0.7859999999999999
2bK4/8/q2kn3/8/8/6N1/5Q2/1B6 w - - 6 44,-1.0,-1.0
4k3/8/1N2K3/5R2/8/7n/B7/3b3r w - - 6 37,0.821,0.8089999999999999
4r3/2Q5/1R6/8/8/K6B/3b4/k5q1 w - - 7 44,-0.14600000000000002,-0.087
8/8/6R1/1k2b1B1/2br4/K7/6B1/8 w - - 0 46,-0.68,-0.226
3b1b2/4k3/2q5/7B/3Q4/2BK4/8/8 w - - 2 39,0.796,0.849
R7/8/3k2K1/5r2/6b1/6r1/8/4R1B1 w - - 13 51,0.923,0.91
8/6B1/2b2B2/4b3/2q1k3/8/8/6QK w - - 7 43,-0.941,-0.769
4B2k/8/2N3RK/1r6/8/1bn5/8/8 w - - 9 32,0.996,0.879
1Q6/5R2/7q/8/n1N1k3/8/1K6/6r1 w - - 12 52,-0.051000000000000004,-0.14900000000000002
5r1r/B6k/3b4/6R1/8/8/4R1K1/8 w - - 16 61,0.888,0.778
3B4/1q6/r7/6K1/k7/b3Q3/5R2/8 w - - 0 39,0.719,0.744
4B3/b3K3/3Q4/n1N2q2/1k6/8/8/8 w - - 0 38,0.864,0.88
b2q4/8/6B1/8/6Q1/k7/6N1/K5n1 w - - 4 51,0.0040000000000000036,-0.0020000000000000018
2Q5/5r1k/1n1q4/8/8/K1R5/8/4N3 w - - 0 61,-0.764,-0.765
6K1/7N/r7/8/2R4Q/8/qn4k1/8 w - - 1 57,0.634,0.16099999999999998
6K1/2q1N2B/3k4/8/8/4Q3/n7/3b4 w - - 16 65,0.9219999999999999,0.9319999999999999
5R2/2Q5/K7/8/1kBq4/4b3/8/6r1 w - - 6 65,0.623,0.867
8/2B5/6b1/6kr/3K1R2/2Q5/6q1/8 w - - 3 55,0.846,0.835
1k6/8/8/8/8/1q1b3R/4r1B1/5K1Q w - - 14 67,-0.476,-0.504
1B6/R7/3Q4/4q3/2K5/6r1/2k5/b7 w - - 5 56,0.796,0.865
2k2qr1/4r3/8/K7/3RR3/8/8/Q7 w - - 8 35,0.821,0.826
5Q2/2k5/K2n1N2/3b2qB/8/8/8/8 w - - 4 33,0.741,0.216
8/1R5R/1r1r4/4k3/8/4K3/2B3b1/8 w - - 11 50,0.924,0.908
2b5/1r2b3/6R1/8/5B2/2B5/2K1k3/8 w - - 12 47,-0.105,-0.137
k2K4/4RQ2/rq6/8/8/7r/8/2R5 w - - 2 53,-0.6339999999999999,-0.76
6K1/1R6/8/7k/b5q1/4B3/Q7/7r w - - 9 63,-0.262,-0.506
8/8/6K1/8/3n4/1R3R2/1N6/1r2k1r1 w - - 22 69,-0.371,-0.212
2q4b/k7/b4Q2/K6B/8/8/8/B7 w - - 9 69,0.843,0.8069999999999999
1Q6/7q/k6r/3K4/5RR1/3r4/8/8 w - - 1 46,-1.0,-0.919
3Q1K2/8/8/6r1/1b5B/4qk2/R7/8 w - - 19 61,-0.727,-0.744
1b6/8/1r6/5R2/Q7/8/5K1k/3B2q1 w - - 6 43,-0.8069999999999999,-0.8109999999999999
8/6r1/1n4k1/5R2/2q1Q3/5K2/2N5/8 w - - 2 31,0.865,0.873
3rRR2/1K6/7k/5Q2/8/8/6q1/3r4 w - - 10 48,-0.887,-0.896
8/kb2q3/3r4/8/5Q1K/6B1/8/1R6 w - - 8 57,-0.776,-0.639
4R3/1k2N3/3q2r1/3K4/8/5Q2/1n6/8 w - - 12 39,-0.267,-0.358
4B2b/k7/8/8/K5b1/B4q2/8/2Q5 w - - 2 33,0.9319999999999999,0.919
5B2/8/5Qb1/2R3K1/8/3q4/1r6/k7 w - - 7 51,0.82,0.92
1r6/3n2n1/N7/R7/8/8/7k/K1N5 w - - 18 64,0.803,0.904
4R3/8/3nBN2/K2br3/3k4/8/8/8 w - - 6 56,-0.40199999999999997,-0.286
5Q2/2R5/2R5/3r4/7K/1r6/4q3/1k6 w - - 7 37,0.909,0.881
4b3/3r4/7K/8/8/6k1/B1Rb4/7B w - - 9 47,-0.486,-0.316
7K/5r1r/8/7k/B7/8/1R4R1/4b3 w - - 9 58,0.05600000000000001,0.067
5K2/6B1/6q1/8/8/3b2b1/3B2Q1/1k6 w - - 16 65,0.907,0.901
8/8/7b/4b1r1/8/B3B3/2R5/2K1k3 w - - 20 65,0.19,0.19599999999999998
3Q3N/1qK5/8/3R4/8/8/k7/nr6 w - - 13 68,-0.884,-0.897
5n2/3r3q/8/7k/4R3/1N6/6Q1/7K w - - 4 68,0.97,0.97
8/8/3Q4/4Bk2/4qN2/K7/2b5/5n2 w - - 13 55,0.786,0.848
Nnr5/5R2/8/8/6r1/7k/3R4/7K w - - 2 54,0.7909999999999999,0.23600000000000002
8/8/8/1r2q3/7Q/2b2R1B/k7/5K2 w - - 5 44,0.836,0.819
4r2q/4Q3/8/8/K4b2/6k1/3BR3/8 w - - 10 61,0.829,0.868
2BR4/7r/8/5K2/1rb2R2/7k/8/8 w - - 14 63,0.737,0.819
K7/8/k7/B4Q2/q7/2R5/3b4/7r w - - 4 34,0.673,1.0
8/8/2Q4K/3r4/7k/3q3b/8/B1R5 w - - 4 35,0.885,0.888
8/8/5K2/8/B6k/1B3Q2/1b6/q1b5 w - - 0 43,0.845,1.0
1bB5/4R3/6r1/8/2K2q2/Q7/6k1/8 w - - 10 42,-0.846,-0.861
3k4/8/b4K1B/2Q5/8/8/1n3N2/5q2 w - - 4 67,1.0,0.909
n5q1/7k/8/4Q1b1/2N3B1/2K5/8/8 w - - 2 32,0.739,0.771
4B3/8/7r/8/3N4/5K2/1R5b/2n3k1 w - - 1 36,0.335,0.308
1Q6/7b/6N1/7B/k7/2K5/2n5/2q5 w - - 8 56,0.819,0.7919999999999999
8/4r3/1R6/5r2/b1B5/k4K2/3R4/8 w - - 2 34,0.208,0.047
3K4/8/4B2b/8/b5B1/1R6/k7/7r w - - 2 31,0.518,0.87
1r1K4/8/8/4NQ2/8/4k1qn/8/7R w - - 0 36,0.289,0.19899999999999998
5B2/8/3R2N1/2k5/K2b4/6n1/8/2r5 w - - 16 53,0.895,0.894
4q2n/8/5Q2/8/k3r1K1/8/7R/N7 w - - 8 30,0.159,0.117
4Kq2/1N4k1/8/1n1R4/1r6/3Q4/8/8 w - - 10 52,-0.48400000000000004,-0.257
4q3/7n/5k2/8/1K1R4/1Q1N4/8/4r3 w - - 3 63,0.775,0.583
5B1k/8/1K6/6r1/7q/8/2Q5/R6b w - - 6 43,0.212,0.077
8/3N1q1n/3Q3R/8/8/4k3/K7/4r3 w - - 11 41,0.6679999999999999,0.873
2Q5/6q1/8/6k1/3r4/2R5/R7/5r1K w - - 12 69,0.581,0.49200000000000005
7R/r7/n7/5r2/8/3R1N2/2K5/5k2 w - - 10 45,0.479,0.92
1Q6/1b6/5R2/8/8/2r3B1/6q1/K6k w - - 3 44,0.7739999999999999,0.7839999999999999
7k/8/7r/8/q5K1/1n1Q3N/2R5/8 w - - 17 64,0.866,0.7
8/4k3/8/1R6/7K/5r2/3n4/3n2NN w - - 10 61,0.59,0.567
8/8/5q2/K2r4/3k4/1Q6/8/2R2Bb1 w - - 7 65,0.12399999999999999,0.127
3r4/8/2K5/7n/8/8/3k2Nr/4R1R1 w - - 1 45,0.713,0.85
4n3/5N1Q/8/k7/8/4K3/q2r4/5R2 w - - 0 30,0.221,0.113
3b2q1/8/8/8/5B2/2b5/7B/1QK2k2 w - - 19 67,0.841,0.834
Q7/3r4/7q/2R5/2K1r3/4k3/R7/8 w - - 9 49,-0.623,-0.623
8/4R3/1K6/3r1k2/2N5/8/n5N1/5n2 w - - 8 49,0.957,0.963
2K3Q1/4r1B1/8/1R6/8/4q3/6k1/4b3 w - - 2 52,0.704,0.912
8/3r3K/8/1R2R3/7k/8/q3r3/6Q1 w - - 3 57,-0.0020000000000000018,-0.0010000000000000009
4B2k/8/5N2/7K/2n5/2B5/8/2b3b1 w - - 17 54,0.938,0.938
1q6/3BQ3/8/8/2K2k2/3Bb3/5b2/8 w - - 3 43,0.821,0.82
7r/8/3B4/k7/3N2nb/8/4K3/1R6 w - - 13 48,0.827,0.505
1K6/1R6/8/8/k3b3/b6B/3B4/2r5 w - - 5 34,0.863,0.919
2K5/8/3B1b1r/2B5/2b4k/8/8/1R6 w - - 5 63,0.428,0.655
k7/8/7r/2Q5/1B1b2R1/4q3/8/5K2 w - - 3 37,0.388,0.9199999999999999
2Q5/3R4/2B2K2/7q/8/3r4/k7/1b6 w - - 14 60,0.5409999999999999,0.43999999999999995
3R4/2K5/q7/8/6r1/6b1/2k4B/7Q w - - 12 45,-0.825,-0.82
Q7/8/7k/8/1r2R3/N2n4/3q4/6K1 w - - 11 38,0.845,0.636
7Q/8/1r6/k7/4K3/5R2/7R/q2r4 w - - 0 63,0.702,0.741
3k4/7b/3KB3/8/8/4B3/1nb2N2/8 w - - 0 64,0.736,0.81
1R3R2/4n3/K2k4/4r3/8/r7/8/7N w - - 4 69,-1.0,-1.0
7B/8/KQ6/3q4/N5n1/4b3/2k5/8 w - - 10 35,0.729,0.749
8/8/b7/kr2Q3/8/3K2R1/8/B1q5 w - - 16 52,-0.647,-0.6839999999999999
8/5Nq1/8/8/n7/6r1/2k5/5RQK w - - 6 53,0.884,0.859
7r/8/b7/5B2/8/5bB1/KR6/2k5 w - - 8 42,0.253,0.055
4R1K1/1N6/3Q3q/8/6n1/2k5/5r2/8 w - - 15 52,0.821,0.93
8/2R5/5b2/2B2k2/8/8/2rq4/1K5Q w - - 5 56,0.877,0.913
2k5/4K3/7n/3B4/1N6/5B2/1b6/6b1 w - - 12 43,0.053000000000000005,0.307
8/8/1n2q3/K4bB1/1Q6/2N5/8/4k3 w - - 1 30,0.684,0.742
1Q6/8/2k5/K5N1/3q2n1/8/B3b3/8 w - - 12 42,0.8109999999999999,0.777
3r4/8/4Q3/8/5k2/2R5/5q1K/2N3n1 w - - 6 50,-0.724,-0.6719999999999999
8/8/n3q3/4r1k1/8/2Q3N1/8/R5K1 w - - 4 33,0.848,0.772
4Bb2/7Q/8/4K3/2q5/4R3/k7/1r6 w - - 1 48,0.769,0.858
2Q5/8/8/1B6/2R5/K1b2q2/8/4r2k w - - 3 39,0.928,0.934
B4B2/8/8/8/Q1bq4/6k1/bK6/8 w - - 0 58,-0.7929999999999999,-0.284
K7/1r1r3n/5R2/8/k1N5/8/5R2/8 w - - 0 33,0.941,0.955
8/2b5/6b1/8/8/K7/2r5/RB1B1k2 w - - 0 42,0.76,0.821
K7/8/1b6/5B2/6R1/1b5B/1r3k2/8 w - - 4 34,0.662,0.906
8/4Q3/B1k5/8/3r4/7q/1R2K3/5b2 w - - 18 62,-0.827,-0.74
5n2/7b/7k/qB6/8/1K4N1/4Q3/8 w - - 4 36,0.94,0.9309999999999999
2r2q2/8/7b/2k5/8/5BK1/5R1Q/8 w - - 4 48,0.757,0.417
1b6/8/B1B5/8/8/4k3/5b1q/1K3Q2 w - - 11 49,0.856,0.667
8/8/3NR3/8/7N/1n2n3/8/K1k1r3 w - - 2 45,-0.594,-0.817
2r5/8/6B1/8/4R3/K6k/8/1b3n1N w - - 13 42,0.424,0.816
7K/8/7Q/8/8/b2qB3/3B4/k2b4 w - - 16 68,-0.041,-0.028
8/8/8/r7/4k3/5R2/1qr1K3/1R1Q4 w - - 3 59,0.731,0.849
5Q2/8/RN3Kr1/8/8/6q1/2n2k2/8 w - - 4 43,-0.8059999999999999,-0.86
8/k7/7R/1n3N2/r1q5/5Q2/8/1K6 w - - 10 42,0.7859999999999999,0.759
5B2/8/6r1/7k/B4K2/1R6/4b3/5b2 w - - 19 64,0.358,0.438
4Q3/8/5K2/2n3r1/1q5k/8/5R2/4N3 w - - 10 41,0.848,0.722
1K3n1k/6r1/8/8/2N5/7b/8/B1R5 w - - 0 38,0.892,0.309
5q2/Q4b2/K3k3/6B1/8/1R6/8/5r2 w - - 17 63,0.839,0.864
R1N5/5K2/3Q4/8/6n1/5kq1/6r1/8 w - - 1 33,0.702,0.69
1R6/1N1K2r1/8/6n1/8/4Q3/6k1/5q2 w - - 2 42,-0.672,-0.833
8/3N4/q2b4/n7/1k6/4Q3/2B5/3K4 w - - 5 53,0.8029999999999999,0.78
4k3/3r4/1K1n4/8/2R5/8/4q3/2Q4N w - - 6 41,-0.258,-0.702
1Q6/8/7q/2k5/4K3/n6b/6B1/4N3 w - - 6 40,0.775,0.775
8/8/1b6/4B3/8/1b1K3B/2R5/1r1k4 w - - 2 62,0.841,0.888
3n4/7K/1N5R/8/8/R7/4r2r/4k3 w - - 6 54,0.879,0.899
4n3/2b2K2/k7/3Q1B2/8/4q3/N7/8 w - - 12 44,0.688,0.749
6r1/4R3/1k1K3Q/r7/2R5/6q1/8/8 w - - 0 35,0.7849999999999999,0.886
3q2r1/1B3b2/8/7k/2R5/2Q4K/8/8 w - - 10 38,0.946,0.935
R3K3/8/5n1r/2N2k2/6r1/8/8/R7 w - - 2 39,-0.743,-0.801
8/1QRq4/8/1R6/3r4/4K3/8/k3r3 w - - 15 67,-0.693,-0.692
8/4k3/1K3N2/8/R7/8/n4Q2/1q5r w - - 5 51,0.047,0.060000000000000005
4r3/1q3r2/7k/8/3Q1R2/8/4KR2/8 w - - 7 60,0.92,0.901
n2br3/1N2k3/8/4B3/8/4R2K/8/8 w - - 16 51,0.908,0.908
8/8/6Q1/4rqR1/1K1r4/8/6R1/4k3 w - - 3 41,-0.863,-0.919
8/4nkr1/N2Q3R/8/8/2K1q3/8/8 w - - 8 67,-0.735,-0.745
8/3KQ3/7q/8/3r1knN/1R6/8/8 w - - 9 30,-0.117,-0.132
7k/8/8/b4B1K/2r5/3N1R2/8/3n4 w - - 17 62,0.817,0.34099999999999997
r7/8/3R4/1r4K1/7R/2b5/8/3B1k2 w - - 0 36,-0.046,-0.11500000000000002
B5K1/3k4/R5R1/8/5b2/8/8/r6r w - - 0 60,0.892,0.857
r7/8/q1k5/8/6BK/8/1b6/5QR1 w - - 0 51,0.88,0.844
8/5k2/5q2/6K1/8/2n5/3QB1Nb/8 w - - 5 54,-0.828,-0.238
1R6/1R6/7k/4r3/8/1B2r3/5K2/4b3 w - - 1 56,-0.854,-0.845
8/5r2/K3k3/8/1Q1R4/5b2/8/4Bq2 w - - 11 47,-0.918,-0.8099999999999999
8/8/8/3R2Q1/1bk5/8/7q/K2Br3 w - - 5 37,-0.844,-0.688
6q1/8/K7/3n2N1/3N3Q/3n4/6k1/8 w - - 14 54,1.0,1.0
1r6/8/8/8/K6k/5R2/Q2R4/qr6 w - - 8 30,-0.47800000000000004,-0.619
4Q3/q7/8/3rBR2/8/8/1bk5/4K3 w - - 16 68,0.742,0.782
q3k1K1/b7/8/8/7B/4B2b/3Q4/8 w - - 4 31,0.44899999999999995,0.45499999999999996
8/Q3R1N1/5q2/3n4/6k1/2r5/1K6/8 w - - 15 68,0.643,0.442
8/2k3B1/5Q2/4N3/8/2n1b3/4q3/7K w - - 12 53,0.7240000000000001,0.7370000000000001
r4b1n/8/8/2R5/k1N5/8/2K2B2/8 w - - 4 34,0.839,0.851
3k4/8/1qB5/4K3/Q3B3/8/8/4bb2 w - - 1 61,0.422,0.737
8/3B2R1/2r5/2b5/kn6/7K/8/4N3 w - - 9 32,0.38,0.49
kn4RN/8/2q5/4r3/8/4K3/5Q2/8 w - - 18 58,-0.768,-0.696
8/4K1Q1/8/nk1q4/3r4/8/8/4RN2 w - - 4 39,-0.33799999999999997,-0.359
3Q4/4N3/8/6R1/q1r5/6K1/8/k2n4 w - - 7 30,0.633,0.747
8/4n3/8/3BN3/k2K4/7Q/3qb3/8 w - - 4 61,-0.749,-0.513
6Nk/n7/5N2/2rn1K2/8/6R1/8/8 w - - 9 31,0.817,0.813
8/3r4/4k3/8/1R6/5Q1b/5K2/3B1q2 w - - 5 31,-0.863,-0.856
5rk1/8/8/1N2K3/1R4n1/2Q5/8/6q1 w - - 3 32,-0.4,-0.618
k4q2/7K/8/8/4r3/3R3Q/8/2N3n1 w - - 8 34,0.743,0.73
2Q5/8/2B5/7K/2k1q3/6n1/7N/4b3 w - - 12 66,-0.819,-1.0
2K5/8/7q/8/k5b1/B3r3/5R2/Q7 w - - 16 52,0.5519999999999999,0.491
8/4K3/5Q2/R3Bq2/3b4/3k4/8/5r2 w - - 13 61,0.22000000000000003,0.135
8/8/4n1Q1/8/3n4/1N1N3q/1K2k3/8 w - - 5 34,0.852,0.851
1B6/5BR1/6K1/2b5/6k1/8/8/2b2r2 w - - 9 53,0.569,0.678
4N2R/8/k7/3Q4/q3K3/1r6/8/n7 w - - 1 37,0.569,0.814
2K3k1/8/2r5/6r1/3R4/5QR1/8/2q5 w - - 7 35,-0.308,-0.088
8/k1r1q3/7r/8/4R1Q1/1K6/8/6R1 w - - 18 67,0.526,0.298
1k6/5q2/r7/6Q1/8/b2K3R/3B4/8 w - - 11 37,0.779,0.848
8/4k3/b7/R1n5/2rK4/N7/5B2/8 w - - 6 41,0.11,0.173
B1n5/6r1/8/N7/5R2/8/1b3K2/3k4 w - - 9 47,0.377,0.359
2b1K3/R1B5/8/6R1/5r2/5r2/1k6/8 w - - 2 65,0.878,0.894
n1K2k2/6Nn/8/4N3/8/6Q1/3q4/8 w - - 4 65,0.9329999999999999,0.942
1br5/1B1k4/K7/1R5Q/8/q7/8/8 w - - 15 50,-0.7729999999999999,-0.739
4kq2/8/4B3/K7/3r4/1R6/2Q5/7b w - - 4 34,0.813,0.71
8/2n1R3/6Q1/6N1/3q2k1/2r5/8/6K1 w - - 16 62,-0.667,-0.611
8/5Q2/4r1K1/3kB2R/8/4b3/3q4/8 w - - 10 67,0.78,0.774
K3n3/8/8/5Q2/k7/q1r5/8/5NR1 w - - 1 62,-0.6829999999999999,-0.733
4k2K/3R1R2/4B2b/5r2/8/5r2/8/8 w - - 10 66,0.881,0.878
