,fen,original,rot180,difference
464,2k4r/8/7b/1b6/8/1B2R3/3K4/1B6 w - - 0 31,-0.867,-0.421,0.446
1451,K7/6r1/8/3kq3/R5n1/4Q3/8/5N2 w - - 2 37,0.8009999999999999,0.356,0.44499999999999995
225,4k3/3r4/1K1n4/8/2R5/8/4q3/2Q4N w - - 6 41,-0.258,-0.702,0.44399999999999995
167,7R/r7/n7/5r2/8/3R1N2/2K5/5k2 w - - 10 45,0.479,0.92,0.44100000000000006
1008,1r6/3B4/8/8/K2b1R2/Q7/1q2k3/8 w - - 5 48,0.084,0.5229999999999999,0.4389999999999999
3206,5b2/1q6/1nN3K1/8/7k/5B2/8/1Q6 w - - 2 51,0.86,0.422,0.438
1205,8/nN6/r4q2/1k6/8/6R1/5K2/4Q3 w - - 4 62,-0.661,-0.2339999999999999,0.42700000000000016
2527,B6R/r7/8/2K5/5q2/2Q5/k3b3/8 w - - 0 46,0.237,0.6629999999999999,0.42599999999999993
416,8/5B2/R3n3/N7/3K4/8/b7/r1k5 w - - 15 53,0.596,0.172,0.424
1025,2n5/8/8/k1N5/8/K7/1R2N3/5r1n w - - 11 36,0.703,0.288,0.415
524,8/7k/3K1q2/2B5/r1b5/2R5/8/4Q3 w - - 6 62,-0.396,-0.8079999999999999,0.4119999999999999
496,8/3k2q1/3N4/Q7/1B1n4/4b3/8/2K5 w - - 4 43,-0.373,-0.784,0.41100000000000003
1184,b3q3/6Q1/3KB3/8/1bB5/8/8/7k w - - 3 30,-0.179,-0.582,0.40299999999999997
3890,8/8/7K/5n2/1RQ3N1/r4k2/6q1/8 w - - 10 52,0.203,0.606,0.40299999999999997
421,k1K2R2/3rr3/n7/6R1/8/5N2/8/8 w - - 7 49,-0.357,-0.759,0.402
1401,b6k/1b2K3/7B/8/8/1B5N/8/7n w - - 15 48,0.747,0.347,0.4
5510,8/8/5q2/Q3N2b/3n4/B7/2K5/k7 w - - 6 50,0.524,0.126,0.398
1745,8/2Q5/4b1q1/8/4K3/3B4/2B5/2kb4 w - - 9 54,-0.5,-0.104,0.396
860,1K1n4/3N4/8/k1b4q/4Q3/8/8/B7 w - - 4 61,0.54,0.934,0.394
213,2r5/8/6B1/8/4R3/K6k/8/1b3n1N w - - 13 42,0.424,0.816,0.39199999999999996
1672,5B2/8/7R/r7/2k1b1r1/8/8/3R2K1 w - - 2 36,-0.609,-0.22,0.389
25,8/r6r/8/2N5/1R4R1/n7/8/3k2K1 w - - 21 69,0.899,0.511,0.388
408,8/2R5/3r4/4r3/1k6/2R5/1K3N2/5n2 w - - 4 58,0.838,0.452,0.38599999999999995
1618,8/1kq3b1/2r5/8/3R1Q2/8/8/4KB2 w - - 8 33,0.643,0.2579999999999999,0.3850000000000001
360,6B1/8/3R4/1k3r2/6B1/4K3/6b1/1b6 w - - 10 33,0.702,0.318,0.38399999999999995
1218,4k3/4B3/6r1/8/8/3RR3/6bK/5r2 w - - 20 64,0.68,0.297,0.38300000000000006
7623,2K5/6b1/5b2/8/7q/6Q1/6BB/1k6 w - - 4 60,0.206,0.588,0.382
337,1k6/4q3/r2r4/6R1/8/5QRK/8/8 w - - 6 70,0.788,0.407,0.38100000000000006
814,8/k7/8/1n1r4/1K6/1N6/2Q2R2/6q1 w - - 14 51,0.764,0.383,0.381
2207,4Br2/q7/4Q3/6KR/8/2k5/8/6b1 w - - 0 32,0.765,0.386,0.379
5779,4k3/Q7/3B4/8/8/K7/4r3/R2b1q2 w - - 9 30,0.5559999999999999,0.177,0.37899999999999995
27128,k3r3/6R1/r7/b4R2/8/1B6/7K/8 w - - 1 40,0.1109999999999999,0.482,0.3710000000000001
3935,1b4r1/1R6/8/Q2K4/B7/5k2/6q1/8 w - - 11 54,-0.17,-0.541,0.371
1004,8/8/4r3/b7/6R1/4r3/3K1k2/1B1R4 w - - 3 56,-0.157,-0.527,0.37
1405,5b2/8/4Bq2/3K4/8/1k6/8/b3QB2 w - - 13 42,0.628,0.995,0.367
656,8/rq5k/4R3/8/8/n2N4/4Q1K1/8 w - - 21 66,0.717,0.351,0.366
3325,8/7q/2BB4/1Q3b1b/8/2k5/7K/8 w - - 21 67,0.635,1.0,0.365
2937,b5k1/1q6/8/3r3B/8/Q3K3/8/7R w - - 4 49,0.647,0.283,0.36400000000000005
1840,8/6K1/2k5/6q1/1B5b/1Q2b3/7B/8 w - - 14 69,-1.0,-0.636,0.364
1341,8/N7/5r2/6RK/1q2n3/8/Q7/5k2 w - - 8 53,0.622,0.259,0.363
324,R4Nkr/1Q3n2/8/8/8/3q2K1/8/8 w - - 16 54,-0.904,-0.541,0.363
1576,1kq5/8/4r3/7R/7R/1r6/5K2/6Q1 w - - 7 35,-0.0699999999999999,-0.432,0.3620000000000001
5292,8/3B1N2/8/kB6/8/K1n5/2b5/3b4 w - - 5 36,0.379,0.0209999999999999,0.3580000000000001
4044,6K1/4q3/8/6nN/Q5n1/1N3k2/8/8 w - - 16 65,0.175,0.533,0.35800000000000004
10212,8/4r3/4bq2/8/8/8/k1K1B2Q/2R5 w - - 10 56,-0.4669999999999999,-0.109,0.35799999999999993
603,5r2/Q4n2/8/8/1k6/7N/3q1K1R/8 w - - 6 52,-0.846,-0.489,0.357
2201,4Q3/5B2/2B5/8/7b/2Kq4/4b3/3k4 w - - 8 60,-0.37,-0.726,0.356
589,1K5Q/6Rb/3q4/8/8/4B3/8/3k3r w - - 3 38,-0.4549999999999999,-0.102,0.3529999999999999
158,3K4/8/4B2b/8/b5B1/1R6/k7/7r w - - 2 31,0.518,0.87,0.352
32277,5Rn1/8/6r1/8/1r6/7R/8/1k1N1K2 w - - 6 31,0.1709999999999999,0.522,0.3510000000000001
2865,k7/2Q5/4N2n/8/1b5B/8/K7/5q2 w - - 17 62,0.462,0.8119999999999999,0.3499999999999999
3044,2K5/6q1/2Q5/8/8/4R3/1b1r4/2Bk4 w - - 2 70,0.19,0.539,0.34900000000000003
8970,3Q4/8/5R2/Bk2q3/8/5K2/8/1r2b3 w - - 12 41,0.129,0.478,0.349
291,3q1r2/1k6/8/1K6/1R5n/8/1Q6/2N5 w - - 9 47,0.96,0.612,0.348
1309,1K6/8/3n4/5kn1/8/5N2/4Q3/6Nq w - - 7 50,0.803,0.456,0.34700000000000003
1639,1B2q3/2Q1r2b/6k1/8/1R6/8/7K/8 w - - 4 41,0.768,0.422,0.34600000000000003
1784,8/2BK4/8/2r5/4RR2/6kb/2r5/8 w - - 21 69,-0.174,-0.519,0.34500000000000003
409,b7/3B4/k7/q7/7Q/r1R5/3K4/8 w - - 11 69,0.846,0.503,0.34299999999999997
921,Bb6/2b4k/8/8/6K1/4B3/1r6/4R3 w - - 7 64,0.735,0.392,0.34299999999999997
1652,2R3B1/8/5K2/5B2/8/b5r1/1k2b3/8 w - - 0 57,0.724,0.383,0.34099999999999997
210,2r2q2/8/7b/2k5/8/5BK1/5R1Q/8 w - - 4 48,0.757,0.417,0.34
2327,8/n3NK2/6Q1/8/q6k/5B2/b7/8 w - - 12 40,0.3889999999999999,0.72,0.33100000000000007
710,3B4/5K2/8/2b4k/8/b2B1R2/r7/8 w - - 8 47,0.318,0.649,0.331
149,K7/8/k7/B4Q2/q7/2R5/3b4/7r w - - 4 34,0.673,1.0,0.32699999999999996
882,4k1K1/2b5/2r5/8/1R6/8/Q3B1q1/8 w - - 2 44,0.787,0.461,0.326
1989,8/3R4/4R3/3Q1K2/8/2q5/rr3k2/8 w - - 4 70,0.3,0.626,0.326
984,8/3K2Q1/2R3B1/1k6/q4b2/1r6/8/8 w - - 10 51,-0.399,-0.074,0.325
1335,8/6qk/rbQ5/4K3/8/4R3/8/2B5 w - - 17 58,-0.6819999999999999,-0.357,0.32499999999999996
1893,5R2/8/1Q2K3/8/r7/2kn1N2/q7/8 w - - 2 70,-0.319,-0.643,0.324
55,3q4/r7/1RQ5/4k3/8/8/7n/3K3N w - - 10 43,-0.846,-0.522,0.32399999999999995
181,7r/8/3B4/k7/3N2nb/8/4K3/1R6 w - - 13 48,0.827,0.505,0.32199999999999995
2854,2B5/5R2/5K1q/8/8/8/7k/1Q4br w - - 6 56,-0.251,-0.573,0.32199999999999995
1565,1Q6/8/5B2/8/3K4/8/1R4b1/3r2kq w - - 10 64,-0.422,-0.104,0.318
3985,n6r/8/2K5/R3Q3/N7/8/8/2k4q w - - 13 42,0.34,0.657,0.317
1080,B6q/6k1/R7/8/8/8/QK6/5br1 w - - 0 44,-0.113,-0.429,0.316
375,7Q/4K3/8/5k2/8/1n5N/1Bb5/1q6 w - - 9 35,0.654,0.97,0.31599999999999995
255,3k4/8/1qB5/4K3/Q3B3/8/8/4bb2 w - - 1 61,0.422,0.737,0.315
372,R3K3/8/8/8/8/1qr5/4QN1k/1n6 w - - 8 62,0.693,0.378,0.31499999999999995
10815,B2K4/2r5/5k2/2n5/8/2R5/7b/3N4 w - - 13 51,-0.4629999999999999,-0.149,0.31399999999999995
395,8/1B6/QN6/8/8/2K1k1n1/4b3/6q1 w - - 1 40,0.4039999999999999,0.09,0.31399999999999995
2088,6R1/8/1n6/R7/7k/1r6/7K/4r1N1 w - - 16 54,0.615,0.303,0.312
515,1rk5/B1b5/3b4/3K4/R7/3B4/8/8 w - - 11 59,0.76,0.448,0.312
682,8/1n4k1/q1K5/7R/6r1/2N5/8/2Q5 w - - 3 63,-0.247,-0.5589999999999999,0.31199999999999994
1143,4q3/8/8/RRr3r1/6k1/8/7Q/6K1 w - - 6 44,0.665,0.354,0.31100000000000005
17661,1r6/N5R1/8/2nk4/2n5/8/8/1K2N3 w - - 16 66,-0.421,-0.112,0.309
7663,8/8/b7/2q2k2/5b1Q/6BK/8/B7 w - - 10 68,0.975,0.666,0.30899999999999994
12243,8/3qk3/2b5/8/3K4/8/7R/rB4Q1 w - - 2 51,0.566,0.2579999999999999,0.30800000000000005
96,8/8/6r1/8/kB5Q/8/1b4q1/4K2R w - - 12 52,-0.051,-0.359,0.308
2829,4q3/1b6/8/1K4k1/8/BB5Q/5b2/8 w - - 6 39,-0.891,-0.586,0.30500000000000005
49814,4b3/8/4r3/q7/3B3Q/6R1/8/2k2K2 w - - 2 39,0.179,0.482,0.303
1566,3k4/6B1/Q5K1/8/N7/8/2n5/b2q4 w - - 15 60,0.637,0.3349999999999999,0.3020000000000001
3732,7Q/4B3/5nb1/N7/3q4/8/1K2k3/8 w - - 14 68,-0.664,-0.363,0.30100000000000005
1242,b7/7r/3RN3/k3K3/8/2n3B1/8/8 w - - 3 42,0.275,0.575,0.29999999999999993
514,8/R7/1r3q2/Q3N3/1n6/1k6/8/K7 w - - 2 35,0.767,0.4679999999999999,0.2990000000000001
1002,3Q4/b4k2/8/8/4B3/7q/7N/n5K1 w - - 12 40,0.788,0.489,0.29900000000000004
1193,1K3B2/7r/k1b5/8/8/8/2q5/4R1Q1 w - - 4 48,0.495,0.793,0.29800000000000004
4510,8/6k1/7q/1R6/2B5/2b1K3/3r1Q2/8 w - - 8 61,-0.358,-0.6559999999999999,0.29799999999999993
497,8/4k3/2r2q2/8/3Q4/7B/3RK3/1b6 w - - 3 51,0.757,0.4609999999999999,0.2960000000000001
709,6R1/k1K5/1r3r2/8/8/1n4N1/8/1R6 w - - 2 43,-0.51,-0.806,0.29600000000000004
1459,3rk3/8/1R6/3N1R2/8/8/6r1/K2n4 w - - 1 41,0.3839999999999999,0.6799999999999999,0.29600000000000004
359,r2r2k1/2K5/2B5/8/8/3b4/2R5/2R5 w - - 12 41,0.365,0.659,0.29400000000000004
363,1q6/1N4rk/1R3Q2/7K/8/8/8/2n5 w - - 6 43,0.6869999999999999,0.393,0.29399999999999993
5513,3r4/2q5/1R5N/8/1Q1K4/8/2k5/1n6 w - - 10 33,-0.3369999999999999,-0.63,0.2930000000000001
1207,5Q2/8/6r1/8/8/5Rrk/R3K2q/8 w - - 14 59,-0.5609999999999999,-0.2679999999999999,0.29300000000000004
692,5bRB/7n/4r3/8/8/1NK5/8/3k4 w - - 9 38,0.47,0.177,0.293
20627,6B1/6b1/4RNn1/8/2r5/8/k6K/8 w - - 17 58,0.42,0.713,0.293
834,8/5Q2/2K2b2/6q1/3Bb3/8/5Bk1/8 w - - 21 68,-0.514,-0.806,0.29200000000000004
4101,8/4N3/8/3R4/4n1k1/8/r6r/1R4K1 w - - 5 65,-0.915,-0.623,0.29200000000000004
959,3k4/K7/8/3N4/6rq/4R2n/8/7Q w - - 3 32,0.419,0.709,0.29
460,4Q1b1/2K5/3R4/8/1k1B2r1/6q1/8/8 w - - 3 43,0.492,0.781,0.28900000000000003
1589,7n/1k1K4/8/1B5b/8/3N4/4bB2/8 w - - 22 69,0.166,0.455,0.28900000000000003
1719,1Nq3n1/8/5b2/2k5/B4QK1/8/8/8 w - - 21 68,0.588,0.876,0.28800000000000003
11648,8/4B3/k7/2Q5/8/8/5R2/1qb1r1K1 w - - 13 43,-0.072,-0.36,0.288
1026,3B1R2/k7/3RK3/8/r2r4/6b1/8/8 w - - 3 61,0.305,0.592,0.287
4658,8/1Q5B/4b3/5B2/2b4K/8/8/q1k5 w - - 2 59,0.364,0.0789999999999999,0.2850000000000001
1069,R4Q2/2r5/4q3/1K6/B6b/8/8/2k5 w - - 8 39,0.537,0.821,0.2839999999999999
1734,3Q4/8/8/B7/3Kr3/7k/3R4/2b1q3 w - - 5 47,-0.147,-0.429,0.28200000000000003
479,8/8/kr4bb/8/3B4/8/5B2/3K2R1 w - - 4 67,0.932,0.651,0.281
92,7Q/8/5K2/3r4/8/q7/5RR1/2kr4 w - - 21 66,0.518,0.7989999999999999,0.2809999999999999
1173,8/6B1/3b3K/1k6/1q6/2r5/5RQ1/8 w - - 1 34,0.835,0.556,0.2789999999999999
803,1Q6/4N3/8/8/n5k1/2b5/4K3/5B1q w - - 8 54,0.784,0.507,0.277
4511,8/7R/8/3rk3/8/q7/4b1B1/1K4Q1 w - - 9 67,0.605,0.328,0.27699999999999997
1302,3r4/8/5R2/K7/4q3/5N2/k3n3/4Q3 w - - 1 59,-0.491,-0.767,0.276
3182,1Q5B/1q6/4K3/8/bk3B2/5b2/8/8 w - - 4 47,0.327,0.603,0.27599999999999997
1311,8/2b5/n4K2/6R1/4B3/1r6/4N2k/8 w - - 11 49,0.723,0.448,0.27499999999999997
933,8/3R3K/4Q3/6q1/3r4/1B6/5b2/2k5 w - - 16 70,0.333,0.608,0.27499999999999997
3999,r6n/6R1/n7/1K3N2/8/5N2/8/k7 w - - 14 57,0.363,0.636,0.273
782,8/6B1/3k1K2/1bqn4/8/8/4N3/5Q2 w - - 3 46,-0.368,-0.641,0.273
2361,8/1R6/8/2b3r1/8/2N5/K7/3B1n1k w - - 1 37,0.415,0.142,0.273
5821,8/5k2/n7/1N1RK3/r7/2R5/8/7r w - - 5 50,0.573,0.3,0.27299999999999996
5285,4n1q1/8/R7/2Q5/6N1/5K1r/8/5k2 w - - 15 54,0.328,0.599,0.27099999999999996
1393,K3R3/8/4b3/4r3/6n1/7k/8/B6N w - - 8 30,0.497,0.767,0.27
891,8/1q6/5N2/5K2/8/3nr3/Q4R2/6k1 w - - 14 55,-0.295,-0.0259999999999999,0.2690000000000001
7320,1b6/6k1/8/7B/1n6/2NK4/q7/2Q5 w - - 9 31,-0.694,-0.425,0.26899999999999996
4018,8/2R5/R1N2r2/8/4r2n/7k/8/7K w - - 10 53,-0.581,-0.313,0.26799999999999996
1687,5B2/7K/4Q3/8/8/2q5/2k5/r2b2R1 w - - 11 48,0.369,0.636,0.267
1599,8/K7/8/N2k3N/3r4/4R3/8/1n4n1 w - - 8 55,0.696,0.43,0.26599999999999996
15149,1b5B/8/b1K2B2/4R3/8/8/8/k4r2 w - - 5 60,0.645,0.381,0.264
4166,5k2/8/8/4b3/1R6/3K4/Q5Bq/6r1 w - - 17 64,0.54,0.2779999999999999,0.2620000000000001
9598,5q2/8/K5n1/2Nb4/2k5/5B2/5Q2/8 w - - 10 62,0.738,1.0,0.262
1513,2n5/7q/7n/8/5QN1/8/k3N2K/8 w - - 9 45,0.374,0.636,0.262
37326,3R4/8/4N3/7r/1K1R3n/7r/5k2/8 w - - 1 38,0.4059999999999999,0.144,0.2619999999999999
6864,4b3/2B5/5K2/2B5/1r6/k7/3R4/b7 w - - 8 40,0.278,0.538,0.26
2610,4kr2/4B1R1/8/1n6/6NK/1b6/8/8 w - - 2 31,0.6779999999999999,0.419,0.25899999999999995
6335,3q4/4r1k1/8/8/R5K1/1n5N/6Q1/8 w - - 7 34,0.66,0.402,0.258
32276,8/8/6n1/8/3B4/1q5k/b7/4QNK1 w - - 3 50,0.67,0.413,0.25700000000000006
7998,5q2/5r2/k5K1/8/6NQ/8/2R5/1n6 w - - 9 67,0.758,0.501,0.257
388,3k4/7b/7q/8/1K3Q1r/8/R6B/8 w - - 6 45,-0.0789999999999999,-0.3359999999999999,0.257
1701,8/2K5/2N5/8/2R5/1Qnq4/4k3/3r4 w - - 7 31,0.385,0.129,0.256
4678,K1RQ4/5q1b/4r3/8/8/4k3/7B/8 w - - 6 49,0.331,0.587,0.25599999999999995
197,2k5/4K3/7n/3B4/1N6/5B2/1b6/6b1 w - - 12 43,0.053,0.307,0.254
2676,8/1k6/4n2Q/5q2/8/4K2N/R7/3r4 w - - 6 52,-0.181,-0.435,0.254
1990,3k4/8/7R/r5r1/1K4bB/8/8/1R6 w - - 14 48,0.741,0.487,0.254
2623,8/6K1/1R5Q/4k3/1N6/8/5r2/5nq1 w - - 12 63,0.501,0.755,0.254
1011,6K1/Q7/5q2/5b2/2kN4/8/6B1/6n1 w - - 16 55,0.4009999999999999,0.654,0.2530000000000001
2184,2Q5/8/8/5N2/2K1k3/4nr1q/8/2R5 w - - 10 56,-0.529,-0.2759999999999999,0.2530000000000001
1696,8/8/2R5/1q6/b2r1K2/6Q1/6B1/3k4 w - - 1 63,-0.195,-0.448,0.253
18563,1K1R4/8/3R4/8/8/kq6/3Q4/4rr2 w - - 12 46,-0.395,-0.146,0.24900000000000003
5610,7k/8/b1r5/7K/8/4N3/4n2R/1B6 w - - 2 34,0.631,0.382,0.249
381,1n6/8/6r1/5qNQ/2k5/8/6R1/7K w - - 8 70,0.481,0.232,0.24899999999999997
1061,Q7/8/2Nqk3/8/5K2/2b5/6Bn/8 w - - 2 41,-0.936,-0.688,0.2480000000000001
638,k4b2/4n3/8/3N3B/2Q2K2/8/8/q7 w - - 4 38,0.76,0.512,0.248
399,7b/8/5b2/8/NB6/6nB/2K5/k7 w - - 10 42,0.493,0.245,0.248
10093,3r2n1/4k3/1R6/2N5/8/4K3/B6b/8 w - - 3 31,0.249,0.497,0.248
19901,6B1/5K2/N7/3R4/n1r5/8/k6b/8 w - - 19 68,0.315,0.563,0.24799999999999994
2017,7Q/2q5/8/2B1n3/4N3/1b6/4k3/1K6 w - - 13 68,0.806,0.5589999999999999,0.2470000000000001
3098,6r1/kr2b3/7R/8/8/5B2/8/4KR2 w - - 5 36,0.749,0.502,0.247
11917,QKB5/8/b2q4/1k6/8/4B3/8/5b2 w - - 1 54,-0.604,-0.851,0.247
7672,6k1/4b3/8/3N1n2/1r6/R7/1K2B3/8 w - - 0 47,0.495,0.249,0.246
2148,7Q/6B1/2qk4/6K1/5N2/8/n7/3b4 w - - 15 64,0.702,0.456,0.24599999999999994
3874,2k2b2/8/8/2r5/q7/3K3R/8/B6Q w - - 11 41,-0.219,-0.4649999999999999,0.2459999999999999
270,4N2R/8/k7/3Q4/q3K3/1r6/8/n7 w - - 1 37,0.569,0.814,0.245
303,k1B5/8/NB1b4/1K6/4n3/8/8/b7 w - - 1 33,0.543,0.299,0.24400000000000005
123,6K1/1R6/8/7k/b5q1/4B3/Q7/7r w - - 9 63,-0.262,-0.506,0.244
471,2K2B2/3R3b/8/8/1r5r/k7/5R2/8 w - - 10 45,0.595,0.351,0.244
114,5R2/2Q5/K7/8/1kBq4/4b3/8/6r1 w - - 6 65,0.623,0.867,0.244
207,K7/8/1b6/5B2/6R1/1b5B/1r3k2/8 w - - 4 34,0.662,0.906,0.244
329,6B1/r3K3/2Q2R2/8/8/8/3q4/kb6 w - - 4 34,-0.4479999999999999,-0.204,0.2439999999999999
510,4K3/3qn3/2k1N3/2r5/6Q1/8/8/7R w - - 4 30,-0.5529999999999999,-0.795,0.2420000000000001
1211,3N4/8/b4k2/4R3/B3K1nr/8/8/8 w - - 5 34,0.663,0.421,0.24200000000000005
4607,8/8/3k4/8/2R2N2/2R2K1r/3r1n2/8 w - - 8 35,0.623,0.381,0.242
634,Q7/RNK1n3/8/8/8/7r/8/1q1k4 w - - 5 33,0.659,0.901,0.242
1716,8/4N1N1/5n2/5q2/3nk3/8/Q1K5/8 w - - 10 47,-0.437,-0.1959999999999999,0.2410000000000001
744,8/4b1r1/8/8/6kb/1B6/7B/2K4R w - - 1 70,0.543,0.302,0.24100000000000005
4353,8/8/1R6/5R2/k3B3/8/1b6/1rr4K w - - 13 46,0.53,0.289,0.24100000000000005
1431,6bn/2QN1k2/8/2K5/8/8/6q1/3B4 w - - 11 61,0.585,0.826,0.241
1277,8/1K1n4/1B1k2q1/8/Q3b3/8/7N/8 w - - 4 40,-0.359,-0.6,0.241
23728,4K3/2b5/4r3/3Rnk2/8/8/6N1/5B2 w - - 9 30,-0.35,-0.59,0.24
976,3b1k2/6r1/2n4B/5K2/8/3N4/7R/8 w - - 1 30,0.863,0.623,0.24
1047,3R4/8/4q3/6rk/3K1n2/8/1Q6/2N5 w - - 3 35,-0.629,-0.39,0.239
1185,8/2b5/2r5/2r5/8/2B2R2/R4K2/3k4 w - - 7 49,0.086,0.323,0.23700000000000002
13791,8/6K1/7R/1N6/r4q2/Q7/4k3/6n1 w - - 9 46,0.577,0.814,0.237
1504,2Q2K2/8/8/R2B4/8/8/1q3r1k/b7 w - - 19 70,-0.353,-0.59,0.237
6009,8/1n2Nnq1/8/Q7/2N5/5k2/2K5/8 w - - 13 52,0.77,0.533,0.237
1864,4k3/5N2/8/4b2B/1K3b2/5B2/1n6/8 w - - 9 64,0.27,0.507,0.237
4113,2r5/8/6r1/4R3/4R3/K1kn4/8/N7 w - - 11 38,-0.213,-0.449,0.23600000000000002
260,8/4n3/8/3BN3/k2K4/7Q/3qb3/8 w - - 4 61,-0.749,-0.513,0.236
28166,8/2k2q2/1N6/8/4n3/6K1/8/b1B3Q1 w - - 13 55,-0.505,-0.269,0.236
1505,5q2/7k/7r/2R5/8/2Q5/7r/2R1K3 w - - 5 63,0.749,0.5139999999999999,0.2350000000000001
5796,8/2q2n2/1K1b4/7B/4N2Q/k7/8/8 w - - 6 44,-0.4599999999999999,-0.695,0.23500000000000004
2822,2n5/2r5/8/3b3K/8/1R2B3/3N4/k7 w - - 4 32,0.411,0.176,0.235
3475,5k2/1Q6/7q/1RN2n2/6r1/8/8/K7 w - - 1 46,0.5469999999999999,0.781,0.2340000000000001
3681,8/1K6/B7/8/4RQ2/8/8/r3b1qk w - - 14 61,0.297,0.531,0.23400000000000004
11884,R7/8/8/8/K6q/4Q1N1/7n/kr6 w - - 15 63,0.61,0.844,0.23399999999999999
292,5nk1/7b/8/2KN4/1Q6/1B6/8/7q w - - 5 57,0.766,0.999,0.23299999999999998
456,r4K2/7k/4B3/b1B5/8/6b1/1R6/8 w - - 7 52,0.197,0.429,0.23199999999999998
1087,5Q2/kq6/4B3/4b3/8/3r4/8/2K2R2 w - - 8 54,0.4599999999999999,0.228,0.2319999999999999
1148,8/1Br5/3k1q2/5b2/K7/8/8/6RQ w - - 8 42,0.798,0.567,0.2310000000000001
11155,1k6/3b4/8/K7/4B3/Q7/3r1q2/R7 w - - 9 57,0.657,0.426,0.23100000000000004
3859,1b4k1/8/8/7N/3n1r2/3R1B2/7K/8 w - - 3 52,0.638,0.407,0.23100000000000004
813,1K2B2q/8/2Q5/7b/8/3b4/k4B2/8 w - - 3 50,0.826,0.595,0.23099999999999998
