CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 89efbbfa12241eb7b13b5f2f3bd8c534d7a9f1d5
uncommitted changes = True
seed = 42
engine_config_name = stockfish_classic_local_81000_nodes.ini
data_config_name = fens_board_transformations.ini
address = 127.0.0.1
port = 60004
password = password
remove_pawns = False
num_positions = 50000
transformations = ['rot90', 'rot180', 'rot270', 'flip_diag', 'flip_anti_diag', 'flip_hor', 'flip_vert']
result_subdir = 

fen,original,rot90,rot180,rot270,flip_diag,flip_anti_diag,flip_hor,flip_vert
1r2B1R1/8/8/1B6/8/7k/7b/2b2K2 w - - 14 56,178,177,183,186,188,179,176,187
KN4R1/8/8/5Q2/r7/8/2n5/2q1k3 w - - 7 35,-359,-362,-360,-334,-367,-370,-351,-339
4r1Q1/8/7r/kq6/2RK4/8/8/6R1 w - - 10 33,-3,-56,-156,-150,-1,-48,-163,0
8/2q5/8/1R6/3r3r/7k/8/R2Q3K w - - 10 55,2759,2772,2863,2828,2771,2802,2768,2827
3b2q1/Q7/8/Bk6/8/8/1b3B2/5K2 w - - 8 38,31996,31996,31996,31996,31996,31996,31996,31996
3q4/r7/1RQ5/4k3/8/8/7n/3K3N w - - 10 43,-179,-185,-181,-276,-180,-188,-174,-264
8/7q/R3b3/8/5k2/1Q6/B1K5/4r3 w - - 17 64,-458,-449,-462,-448,-414,-462,-460,-454
5K2/3r4/2q5/5k2/8/1Q5R/4nN2/8 w - - 0 49,333,267,294,378,27,112,347,330
8/7R/8/2KNr2n/2R5/1k6/8/3r4 w - - 0 37,257,254,242,221,228,249,256,244
8/2n2q2/6b1/8/8/2K5/5N2/5kBQ w - - 2 48,364,298,279,282,311,302,287,268
1K6/5B2/8/1k6/7b/8/Q3R1rq/8 w - - 11 57,3460,478,3411,3146,2913,3425,3108,3249
q3r3/8/1B6/QK6/7R/8/1kb5/8 w - - 6 64,205,208,0,204,6,0,208,188
8/kq3b2/2Q1r3/8/B7/8/5K2/R7 w - - 18 61,45,101,46,51,108,52,40,56
3r4/8/b1B1R3/1b6/8/6K1/2B5/5k2 w - - 15 55,2742,2798,2783,854,860,868,2765,849
6B1/7R/1b3K2/8/5k2/8/4rq2/Q7 w - - 0 48,-11,-20,-19,-50,-50,-7,-42,-11
8/8/2Q5/q7/8/2N4R/5k2/K1n2r2 w - - 9 33,-511,-598,-593,-585,-587,-601,-638,-645
K6b/8/2q2k2/3r4/4B3/8/1R4Q1/8 w - - 2 50,-31997,-31997,-31997,-31997,-31997,-31997,-31997,-31997
5R2/1krK4/8/8/4r3/8/8/1n3N1R w - - 5 39,-31994,-31994,-180,-31994,-31994,-31994,-31994,-31994
6NQ/8/n7/8/3K4/5q1B/8/kb6 w - - 17 59,-60,-98,-90,-71,-103,-92,-74,-75
3b4/1n3B2/8/8/1k2rNR1/8/8/3K4 w - - 1 69,153,175,156,164,170,160,158,173
8/8/3r3q/R7/N6n/8/8/3QK1k1 w - - 10 63,-165,-168,-165,-161,-161,-165,-167,-167
8/8/k3r3/6n1/N6q/1K6/Q1R5/8 w - - 14 56,3521,81,157,3499,180,31991,85,75
k7/4b2B/8/7Q/1b1K4/1q2B3/8/8 w - - 2 53,341,318,318,339,340,347,352,345
3R4/8/8/7r/1rB1R3/2k4b/5K2/8 w - - 3 35,31995,31995,31995,31995,31995,31995,31995,31995
3Q4/k7/1r6/1q6/6K1/8/B1R5/b7 w - - 13 70,8,165,172,176,7,162,169,170
r7/3n4/6R1/8/n2N4/5K2/8/1N3k2 w - - 6 62,43,47,48,42,45,46,47,47
n6b/8/7k/8/5K1N/2q5/8/2BQ4 w - - 13 59,3267,3219,3237,3298,3256,3319,3436,463
k1B5/8/7Q/8/8/5K2/b5B1/b2q4 w - - 9 62,3182,439,3223,3139,747,3087,816,857
1q5k/1b6/8/1Q6/8/5B2/5R2/1K4r1 w - - 8 70,-313,-281,-277,-322,-263,-284,-271,-288
7q/5kr1/B6b/8/R7/3Q4/8/6K1 w - - 5 68,264,295,282,297,281,303,307,294
8/2R2r2/3K3Q/5q2/8/3k4/5bB1/8 w - - 3 58,367,429,354,3047,360,868,349,0
B1Q5/2K1k3/2R5/2r5/8/5b2/8/2q5 w - - 10 60,927,3024,2819,2836,897,2844,2815,2811
8/8/2k3K1/6bB/8/7n/4N3/6nN w - - 19 62,7,3,7,4,7,3,7,7
8/2B2K2/8/8/brb3R1/8/7B/7k w - - 4 51,79,84,70,76,83,81,86,72
2B1Kb2/8/8/7k/3b1r2/4R3/3B4/8 w - - 14 63,54,54,50,46,49,54,50,49
8/q1Q1R3/8/r7/8/4n1Nk/8/4K3 w - - 6 64,269,297,297,287,277,278,283,289
2r5/4R3/KB1Q4/8/8/8/2q5/kb6 w - - 10 54,31996,31996,31996,31996,31996,31996,31996,31996
2K4R/N6Q/8/8/5k2/q6n/7r/8 w - - 3 42,2969,2969,2908,3085,2933,2914,2958,2847
8/8/8/6n1/8/7k/3rq2N/Q2R2K1 w - - 6 35,0,0,0,0,4,0,0,0
5N2/7n/8/5QN1/7q/8/k6n/2K5 w - - 4 63,272,275,252,244,77,277,215,90
8/2rr2b1/5R2/8/k7/8/2K2R2/1B6 w - - 16 64,-209,-184,-209,-200,-190,-181,-183,-182
2q3k1/2n5/1Q6/K1N5/8/8/8/6Bb w - - 0 46,852,732,848,3200,3116,852,3099,3141
7Q/8/5K2/3r4/8/q7/5RR1/2kr4 w - - 21 66,326,314,332,471,354,408,335,181
5B2/2B4k/7r/8/K1bR4/3b4/8/8 w - - 0 55,34,30,29,26,26,30,26,33
2N5/B6q/8/Q7/7n/5b2/8/2k1K3 w - - 0 39,31991,31991,31991,31991,31991,31991,31991,31991
8/2q5/8/R5Q1/8/5kn1/8/K1N3r1 w - - 16 57,316,248,353,416,261,531,239,300
8/8/6r1/8/kB5Q/8/1b4q1/4K2R w - - 12 52,-43,-47,-52,-47,-48,-50,-46,-48
8/7R/b4k2/8/r5K1/4Q3/q3B3/8 w - - 0 33,-345,-345,-350,-363,-347,-362,-338,-112
4k3/8/1N2K3/5R2/8/7n/B7/3b3r w - - 6 37,55,69,87,94,72,74,90,95
2bK4/8/q2kn3/8/8/6N1/5Q2/1B6 w - - 6 44,-31995,-31995,-31995,-31995,-31995,-31995,-31995,-31995
4r3/2Q5/1R6/8/8/K6B/3b4/k5q1 w - - 7 44,0,0,0,-192,0,0,0,0
8/8/6R1/1k2b1B1/2br4/K7/6B1/8 w - - 0 46,-95,-96,-96,-92,-97,-96,-100,-97
3b1b2/4k3/2q5/7B/3Q4/2BK4/8/8 w - - 2 39,320,281,284,273,331,282,299,283
R7/8/3k2K1/5r2/6b1/6r1/8/4R1B1 w - - 13 51,204,202,214,207,214,202,206,208
8/6B1/2b2B2/4b3/2q1k3/8/8/6QK w - - 7 43,-3162,-3152,-3141,-31991,-3154,-3096,-3090,-3095
4B2k/8/2N3RK/1r6/8/1bn5/8/8 w - - 9 32,290,241,224,283,281,293,220,235
1Q6/5R2/7q/8/n1N1k3/8/1K6/6r1 w - - 12 52,-131,-52,-92,-125,-339,-137,-48,-34
5r1r/B6k/3b4/6R1/8/8/4R1K1/8 w - - 16 61,280,191,338,189,195,195,190,183
3B4/1q6/r7/6K1/k7/b3Q3/5R2/8 w - - 0 39,332,351,355,329,339,319,357,359
4B3/b3K3/3Q4/n1N2q2/1k6/8/8/8 w - - 0 38,275,271,261,283,280,278,272,263
b2q4/8/6B1/8/6Q1/k7/6N1/K5n1 w - - 4 51,-11,-11,-6,-9,0,-11,-8,-11
2Q5/5r1k/1n1q4/8/8/K1R5/8/4N3 w - - 0 61,-163,-169,-173,-161,-162,-172,-167,-172
6K1/2q1N2B/3k4/8/8/4Q3/n7/3b4 w - - 16 65,583,568,536,3080,825,563,559,830
6K1/7N/r7/8/2R4Q/8/qn4k1/8 w - - 1 57,0,0,0,0,0,0,0,0
5R2/2Q5/K7/8/1kBq4/4b3/8/6r1 w - - 6 65,273,271,7,263,263,267,270,270
8/2B5/6b1/6kr/3K1R2/2Q5/6q1/8 w - - 3 55,275,265,272,236,282,289,238,294
1k6/8/8/8/8/1q1b3R/4r1B1/5K1Q w - - 14 67,-84,-87,-165,-17,-82,-43,-149,-167
1B6/R7/3Q4/4q3/2K5/6r1/2k5/b7 w - - 5 56,359,361,362,364,359,363,364,362
2k2qr1/4r3/8/K7/3RR3/8/8/Q7 w - - 8 35,286,350,260,355,4,75,187,0
5Q2/2k5/K2n1N2/3b2qB/8/8/8/8 w - - 4 33,141,165,125,130,122,138,128,171
8/1R5R/1r1r4/4k3/8/4K3/2B3b1/8 w - - 11 50,171,173,173,175,172,176,173,182
2b5/1r2b3/6R1/8/5B2/2B5/2K1k3/8 w - - 12 47,-34,-30,-30,-29,-30,-31,-30,-30
k2K4/4RQ2/rq6/8/8/7r/8/2R5 w - - 2 53,-2766,-2789,-2773,-2789,-2843,-3016,-2748,-2749
6K1/1R6/8/7k/b5q1/4B3/Q7/7r w - - 9 63,-196,-240,-203,-177,-241,-263,-185,-240
8/8/6K1/8/3n4/1R3R2/1N6/1r2k1r1 w - - 22 69,-46,-46,-42,-47,-46,-44,-47,-42
2q4b/k7/b4Q2/K6B/8/8/8/B7 w - - 9 69,502,514,599,414,526,439,562,537
1Q6/7q/k6r/3K4/5RR1/3r4/8/8 w - - 1 46,-31993,-31993,-31990,-31993,-31993,-31991,-31993,-31992
3Q1K2/8/8/6r1/1b5B/4qk2/R7/8 w - - 19 61,-352,-347,-31,-113,-361,-30,-350,-336
1b6/8/1r6/5R2/Q7/8/5K1k/3B2q1 w - - 6 43,-273,-286,-286,-271,-279,-300,-318,-286
8/6r1/1n4k1/5R2/2q1Q3/5K2/2N5/8 w - - 2 31,252,294,270,282,278,284,79,269
3rRR2/1K6/7k/5Q2/8/8/6q1/3r4 w - - 10 48,-31991,-31988,-31991,-31991,-31991,-31989,-31994,-31990
8/kb2q3/3r4/8/5Q1K/6B1/8/1R6 w - - 8 57,-320,-442,-426,-324,-445,-351,-360,-396
4R3/1k2N3/3q2r1/3K4/8/5Q2/1n6/8 w - - 12 39,-120,-156,-169,-167,-171,-158,-148,-172
4B2b/k7/8/8/K5b1/B4q2/8/2Q5 w - - 2 33,31990,3158,31989,3078,31990,31990,31991,31989
5B2/8/5Qb1/2R3K1/8/3q4/1r6/k7 w - - 7 51,819,2883,2894,532,518,390,462,2891
1r6/3n2n1/N7/R7/8/8/7k/K1N5 w - - 18 64,152,167,41,153,151,165,157,160
4R3/8/3nBN2/K2br3/3k4/8/8/8 w - - 6 56,-35,-96,-80,-31,-81,-86,-35,-79
5Q2/2R5/2R5/3r4/7K/1r6/4q3/1k6 w - - 7 37,334,346,347,346,354,343,347,357
4b3/3r4/7K/8/8/6k1/B1Rb4/7B w - - 9 47,-33,-30,-27,-26,-29,-29,-26,-25
7K/5r1r/8/7k/B7/8/1R4R1/4b3 w - - 9 58,0,0,0,0,0,0,0,0
5K2/6B1/6q1/8/8/3b2b1/3B2Q1/1k6 w - - 16 65,3080,814,752,834,3146,3108,3066,719
8/8/7b/4b1r1/8/B3B3/2R5/2K1k3 w - - 20 65,65,61,58,60,54,61,53,57
3Q3N/1qK5/8/3R4/8/8/k7/nr6 w - - 13 68,-161,-151,-181,-160,-172,-156,-161,-184
5n2/3r3q/8/7k/4R3/1N6/6Q1/7K w - - 4 68,31991,31988,31991,31993,31991,31991,31992,31992
8/8/3Q4/4Bk2/4qN2/K7/2b5/5n2 w - - 13 55,277,278,272,265,263,274,278,272
Nnr5/5R2/8/8/6r1/7k/3R4/7K w - - 2 54,150,165,163,158,161,163,145,168
8/8/8/1r2q3/7Q/2b2R1B/k7/5K2 w - - 5 44,215,205,205,230,235,207,223,215
4r2q/4Q3/8/8/K4b2/6k1/3BR3/8 w - - 10 61,350,118,294,299,95,327,315,263
2BR4/7r/8/5K2/1rb2R2/7k/8/8 w - - 14 63,200,210,202,206,201,54,203,198
K7/8/k7/B4Q2/q7/2R5/3b4/7r w - - 4 34,31995,31995,31995,31995,31995,31995,31995,31995
8/8/2Q4K/3r4/7k/3q3b/8/B1R5 w - - 4 35,104,214,207,48,84,221,210,187
8/8/5K2/8/B6k/1B3Q2/1b6/q1b5 w - - 0 43,31996,31996,31996,31996,31996,31996,31996,31996
1bB5/4R3/6r1/8/2K2q2/Q7/6k1/8 w - - 10 42,-161,-165,-159,-162,-157,-163,-165,-158
3k4/8/b4K1B/2Q5/8/8/1n3N2/5q2 w - - 4 67,285,31993,31993,397,31993,31993,31993,31993
n5q1/7k/8/4Q1b1/2N3B1/2K5/8/8 w - - 2 32,277,300,268,258,283,278,167,294
4B3/8/7r/8/3N4/5K2/1R5b/2n3k1 w - - 1 36,67,79,64,81,63,71,70,67
1Q6/7b/6N1/7B/k7/2K5/2n5/2q5 w - - 8 56,31993,31993,31993,31993,31993,31993,31993,31993
8/4r3/1R6/5r2/b1B5/k4K2/3R4/8 w - - 2 34,41,38,34,40,38,34,41,37
3K4/8/4B2b/8/b5B1/1R6/k7/7r w - - 2 31,175,173,167,172,170,170,175,170
1r1K4/8/8/4NQ2/8/4k1qn/8/7R w - - 0 36,139,194,112,129,128,95,155,109
5B2/8/3R2N1/2k5/K2b4/6n1/8/2r5 w - - 16 53,165,170,165,155,157,169,170,170
4q2n/8/5Q2/8/k3r1K1/8/7R/N7 w - - 8 30,40,82,69,65,93,27,58,35
4Kq2/1N4k1/8/1n1R4/1r6/3Q4/8/8 w - - 10 52,-2821,-977,-2824,-2764,-969,-2809,-2813,-3055
4q3/7n/5k2/8/1K1R4/1Q1N4/8/4r3 w - - 3 63,162,81,248,111,49,75,90,40
5B1k/8/1K6/6r1/7q/8/2Q5/R6b w - - 6 43,0,98,0,111,85,85,0,0
8/3N1q1n/3Q3R/8/8/4k3/K7/4r3 w - - 11 41,244,223,248,234,260,264,281,247
2Q5/6q1/8/6k1/3r4/2R5/R7/5r1K w - - 12 69,170,181,245,153,284,176,163,189
7R/r7/n7/5r2/8/3R1N2/2K5/5k2 w - - 10 45,31992,59,2930,31992,873,31992,78,2935
1Q6/1b6/5R2/8/8/2r3B1/6q1/K6k w - - 3 44,2827,2886,894,2831,2853,2858,2833,2838
7k/8/7r/8/q5K1/1n1Q3N/2R5/8 w - - 17 64,174,190,34,189,187,193,188,22
8/4k3/8/1R6/7K/5r2/3n4/3n2NN w - - 10 61,44,29,41,133,41,37,129,85
8/8/5q2/K2r4/3k4/1Q6/8/2R2Bb1 w - - 7 65,0,0,20,12,60,15,0,0
3r4/8/2K5/7n/8/8/3k2Nr/4R1R1 w - - 1 45,178,169,156,151,153,51,167,162
4n3/5N1Q/8/k7/8/4K3/q2r4/5R2 w - - 0 30,32,37,26,22,36,8,38,24
3b2q1/8/8/8/5B2/2b5/7B/1QK2k2 w - - 19 67,776,3078,3091,3093,887,3066,3058,3058
Q7/3r4/7q/2R5/2K1r3/4k3/R7/8 w - - 9 49,-373,-361,-353,-367,-363,-360,-366,-313
8/4R3/1K6/3r1k2/2N5/8/n5N1/5n2 w - - 8 49,283,285,265,257,252,214,262,275
2K3Q1/4r1B1/8/1R6/8/4q3/6k1/4b3 w - - 2 52,268,272,256,255,262,265,281,237
8/3r3K/8/1R2R3/7k/8/q3r3/6Q1 w - - 3 57,0,0,0,0,0,0,0,0
4B2k/8/5N2/7K/2n5/2B5/8/2b3b1 w - - 17 54,31993,31993,31993,31993,48,31993,31993,31993
1q6/3BQ3/8/8/2K2k2/3Bb3/5b2/8 w - - 3 43,31990,3369,3331,3351,350,31990,31990,31990
7r/8/3B4/k7/3N2nb/8/4K3/1R6 w - - 13 48,205,195,210,208,204,206,212,202
1K6/1R6/8/8/k3b3/b6B/3B4/2r5 w - - 5 34,173,170,174,174,176,168,167,166
2K5/8/3B1b1r/2B5/2b4k/8/8/1R6 w - - 5 63,167,167,167,160,162,172,167,162
k7/8/7r/2Q5/1B1b2R1/4q3/8/5K2 w - - 3 37,301,322,325,339,330,319,319,315
2Q5/3R4/2B2K2/7q/8/3r4/k7/1b6 w - - 14 60,19,21,18,40,36,26,56,15
3R4/2K5/q7/8/6r1/6b1/2k4B/7Q w - - 12 45,-2839,-2809,-470,-289,-6,-11,-2915,-427
Q7/8/7k/8/1r2R3/N2n4/3q4/6K1 w - - 11 38,31991,31991,31991,31991,31991,31991,31991,31991
7Q/8/1r6/k7/4K3/5R2/7R/q2r4 w - - 0 63,355,0,338,351,350,354,339,351
3k4/7b/3KB3/8/8/4B3/1nb2N2/8 w - - 0 64,57,54,56,54,54,54,56,57
1R3R2/4n3/K2k4/4r3/8/r7/8/7N w - - 4 69,-31994,-31994,-31994,-99,-31994,-31994,-31994,-31994
7B/8/KQ6/3q4/N5n1/4b3/2k5/8 w - - 10 35,538,536,517,503,511,526,545,500
8/8/b7/kr2Q3/8/3K2R1/8/B1q5 w - - 16 52,-194,-116,-172,-211,-203,-191,-195,-195
8/5Nq1/8/8/n7/6r1/2k5/5RQK w - - 6 53,159,427,168,176,165,394,295,168
7r/8/b7/5B2/8/5bB1/KR6/2k5 w - - 8 42,15,7,10,16,4,7,16,4
4R1K1/1N6/3Q3q/8/6n1/2k5/5r2/8 w - - 15 52,31990,31990,3229,31990,31988,31990,31990,31990
8/2R5/5b2/2B2k2/8/8/2rq4/1K5Q w - - 5 56,166,167,170,171,169,172,169,169
2k5/4K3/7n/3B4/1N6/5B2/1b6/6b1 w - - 12 43,8,6,7,5,10,6,4,7
8/8/1n2q3/K4bB1/1Q6/2N5/8/4k3 w - - 1 30,31992,246,277,255,31992,270,277,31992
1Q6/8/2k5/K5N1/3q2n1/8/B3b3/8 w - - 12 42,280,282,278,275,263,287,281,278
8/8/n3q3/4r1k1/8/2Q3N1/8/R5K1 w - - 4 33,272,327,295,322,342,336,303,312
3r4/8/4Q3/8/5k2/2R5/5q1K/2N3n1 w - - 6 50,-191,-536,-348,-311,-231,-199,-404,-209
4Bb2/7Q/8/4K3/2q5/4R3/k7/1r6 w - - 1 48,506,448,501,462,517,477,458,457
2Q5/8/8/1B6/2R5/K1b2q2/8/4r2k w - - 3 39,556,592,586,563,555,879,615,651
B4B2/8/8/8/Q1bq4/6k1/bK6/8 w - - 0 58,-458,-537,-273,-363,-346,-388,-392,-354
K7/1r1r3n/5R2/8/k1N5/8/5R2/8 w - - 0 33,168,169,156,167,164,173,182,163
8/2b5/6b1/8/8/K7/2r5/RB1B1k2 w - - 0 42,167,164,161,158,163,164,168,162
K7/8/1b6/5B2/6R1/1b5B/1r3k2/8 w - - 4 34,159,166,155,162,159,165,165,154
8/4Q3/B1k5/8/3r4/7q/1R2K3/5b2 w - - 18 62,-279,-77,-38,-283,-217,-275,-285,-285
5n2/7b/7k/qB6/8/1K4N1/4Q3/8 w - - 4 36,698,624,3192,619,537,608,569,585
2r2q2/8/7b/2k5/8/5BK1/5R1Q/8 w - - 4 48,160,163,163,164,163,160,157,162
1b6/8/B1B5/8/8/4k3/5b1q/1K3Q2 w - - 11 49,840,330,849,367,839,358,314,841
8/8/3NR3/8/7N/1n2n3/8/K1k1r3 w - - 2 45,-175,-173,-167,-182,-184,-175,-179,-165
2r5/8/6B1/8/4R3/K6k/8/1b3n1N w - - 13 42,160,151,167,151,149,165,162,166
7K/8/7Q/8/8/b2qB3/3B4/k2b4 w - - 16 68,-14,-11,-11,-15,-14,-11,-15,-11
8/8/8/r7/4k3/5R2/1qr1K3/1R1Q4 w - - 3 59,152,168,167,164,161,161,157,166
5Q2/8/RN3Kr1/8/8/6q1/2n2k2/8 w - - 4 43,-289,-278,-275,-292,-309,-239,-276,-270
8/k7/7R/1n3N2/r1q5/5Q2/8/1K6 w - - 10 42,197,213,210,56,223,223,204,185
5B2/8/6r1/7k/B4K2/1R6/4b3/5b2 w - - 19 64,46,47,47,50,73,50,46,50
4Q3/8/5K2/2n3r1/1q5k/8/5R2/4N3 w - - 10 41,2906,3434,690,2906,2920,3036,2920,3222
1K3n1k/6r1/8/8/2N5/7b/8/B1R5 w - - 0 38,174,175,168,163,167,174,170,172
5q2/Q4b2/K3k3/6B1/8/1R6/8/5r2 w - - 17 63,263,262,231,270,23,265,39,253
R1N5/5K2/3Q4/8/6n1/5kq1/6r1/8 w - - 1 33,0,226,234,232,236,253,236,165
1R6/1N1K2r1/8/6n1/8/4Q3/6k1/5q2 w - - 2 42,-351,-614,-362,-511,-417,-415,-342,-519
8/3N4/q2b4/n7/1k6/4Q3/2B5/3K4 w - - 5 53,316,333,328,337,309,316,324,352
4k3/3r4/1K1n4/8/2R5/8/4q3/2Q4N w - - 6 41,-72,-240,-251,-33,-257,-256,-241,-31
1Q6/8/7q/2k5/4K3/n6b/6B1/4N3 w - - 6 40,554,170,429,508,131,483,439,541
8/8/1b6/4B3/8/1b1K3B/2R5/1r1k4 w - - 2 62,180,224,193,173,175,178,175,183
3n4/7K/1N5R/8/8/R7/4r2r/4k3 w - - 6 54,171,159,157,167,169,157,167,163
4n3/2b2K2/k7/3Q1B2/8/4q3/N7/8 w - - 12 44,296,149,131,273,274,266,105,277
6r1/4R3/1k1K3Q/r7/2R5/6q1/8/8 w - - 0 35,368,354,367,360,356,367,362,361
3q2r1/1B3b2/8/7k/2R5/2Q4K/8/8 w - - 10 38,365,367,355,358,355,359,359,366
